id,src,tgt
433,14 yaşın da trafik canavarı,14 yaşında trafik canavarı
434,yeni yıl da vergi ve harçlar,yeni yılda vergi ve harçlar
435,emlak ve çöp vergisinde ki artış % 5.6 olacak ...,emlak ve çöp vergisindeki artış % 5.6 olacak ...
436,la birlik de havalar ısını,la birlikte havalar ısını
437,"nihat özdemir , diyarbakırda","nihat özdemir , diyarbakır da"
438,çın da tribünleri boş bırakan taraftara sitem etti,çında tribünleri boş bırakan taraftara sitem etti
439,samsunspor deplasmanın da 4 gol bulan beşiktaş 3 puanı alan taraf oldu ...,samsunspor deplasmanında 4 gol bulan beşiktaş 3 puanı alan taraf oldu ...
440,çeteyle bağlantılı bir belediye başkanının makam odasın da çok sayı da dinamit bulundu .,çeteyle bağlantılı bir belediye başkanının makam odasında çok sayıda dinamit bulundu .
441,"çete , en düstri holding mallarının yağmalan maçın da rol oynamış son haber","çete , en düstri holding mallarının yağmalan maçında rol oynamış son haber"
442,enflasyon hedefin altın da !,enflasyon hedefin altında !
443,adalet baskanlığın da korkutan patlama son,adalet baskanlığında korkutan patlama son
444,memura bayram da çifte müjde !,memura bayramda çifte müjde !
445,ardından boşluğa doğru süzüldü ve yan apart mana yaslanarak hava da böyle durabildi son haber,ardından boşluğa doğru süzüldü ve yan apart mana yaslanarak havada böyle durabildi son haber
446,windowsuda ki açık yüzünden yüzmilyonlarca bilgisayar virüs tehdidi altın da ...,windowsudaki açık yüzünden yüzmilyonlarca bilgisayar virüs tehdidi altında ...
447,"i̇ngiltere , ülkenin en yoğun göçmenlik bürosun da yaşanan seks skandalıyla çalkalanıyor !","i̇ngiltere , ülkenin en yoğun göçmenlik bürosunda yaşanan seks skandalıyla çalkalanıyor !"
448,buda taş devri diyeti,bu da taş devri diyeti
449,almanya da spor salonunun çatısı çöktü,almanyada spor salonunun çatısı çöktü
450,atina da bombalı sabah ...,atinada bombalı sabah ...
451,doğalgaz da tek bir ülkeye bağlı değiliz,doğalgazda tek bir ülkeye bağlı değiliz
452,i̇ki kupayıda istiyoruz ...,i̇ki kupayı da istiyoruz ...
453,fransada yumuşadı !,fransa da yumuşadı !
454,türkiyenin ab üyeliğine karşı çıkan fransanın görüşlerinde ki değişimi bugün chirac şöyle dile getirdi son haber,türkiyenin ab üyeliğine karşı çıkan fransanın görüşlerindeki değişimi bugün chirac şöyle dile getirdi son haber
455,hafta sonun da yurdun tümü bahar havası yaşayacak .,hafta sonunda yurdun tümü bahar havası yaşayacak .
456,türkiye de tezkere tartışmaları yaşanırken abd de kapalı kapılar ardın da neler konuşuluyordu .,türkiyede tezkere tartışmaları yaşanırken abdde kapalı kapılar ardında neler konuşuluyordu .
457,belçika da bugün yayınlanan gazeteler de milli takım ve ersun yanala şu övgüler yeraldı son haber,belçikada bugün yayınlanan gazetelerde milli takım ve ersun yanala şu övgüler yeraldı son haber
458,hileleri gıda üretene ağır ceza yol da !,hileleri gıda üretene ağır ceza yolda !
459,"abd , kktcyede factor diplomatik tanınma sunabilir !","abd , kktcye de factor diplomatik tanınma sunabilir !"
460,mars da işlem tamam !,marsta işlem tamam !
461,istanbullular tv de ne izliyor ?,istanbullular tvde ne izliyor ?
462,daumun gözü sambacılar da !,daumun gözü sambacılarda !
463,kapalı kapılar ardın da !,kapalı kapılar ardında !
464,herkesin heyecanla beklediği dsp grup toplantısının basına kapalı bölümün de neler konuşuldu .,herkesin heyecanla beklediği dsp grup toplantısının basına kapalı bölümünde neler konuşuldu .
465,newsweekin yorumuna göre böyle bir koalisyon batı ve imf içinde iyi bir seçenek .,newsweekin yorumuna göre böyle bir koalisyon batı ve imf için de iyi bir seçenek .
466,az ileri de bir başka bankayı soymaya çalışınca bu kez yakalandı ...,az ileride bir başka bankayı soymaya çalışınca bu kez yakalandı ...
467,i̇talyaya transferi olay olan hakan şükürü şimdide parma elinden çıkartmak istiyor .,i̇talyaya transferi olay olan hakan şükürü şimdi de parma elinden çıkartmak istiyor .
468,son istifalardan sonra değişen aritmetiğe uygun olarak meclis de oturma düzenide değişti ...,son istifalardan sonra değişen aritmetiğe uygun olarak mecliste oturma düzeni de değişti ...
469,sivas da doğan ve kardeşlerini karnın da taşıyan bebeğe bugün başarılı bir ameliyat yapıldı .,sivasta doğan ve kardeşlerini karnında taşıyan bebeğe bugün başarılı bir ameliyat yapıldı .
470,ortegada zamanla anlar,ortega da zamanla anlar
471,i̇dam cezalarıda bu gelişmenin önüne geçmiyor .,i̇dam cezaları da bu gelişmenin önüne geçmiyor .
472,musti turne de tuba barlar da,musti turnede tuba barlarda
473,"mustafa sandal’la aşk yaşayan tuba ünsal , önce ki gece ortaköy’de ki buz bar’daydı .","mustafa sandal’la aşk yaşayan tuba ünsal , önceki gece ortaköy’deki buz bar’daydı ."
474,ancak o abisinin ehliyetini alıp gizlice şehirlerarası otobüsler de çalışmaya devam etti .,ancak o abisinin ehliyetini alıp gizlice şehirlerarası otobüslerde çalışmaya devam etti .
475,i̇zmir konak da avukat mehmet oğuz duş almak için banyoya girdi .,i̇zmir konakta avukat mehmet oğuz duş almak için banyoya girdi .
476,patlama öyle şiddetli idi ki sokakta ki 15 araç hasar gördü,patlama öyle şiddetli idi ki sokaktaki 15 araç hasar gördü
477,hırvatistan maçın da herkesi çileden çıkaran i̇ngiliz hakem stokes sırbistan maçına atandı .,hırvatistan maçında herkesi çileden çıkaran i̇ngiliz hakem stokes sırbistan maçına atandı .
478,ümit milli takım ve schalke de fırtına gibi esen hamite alanlar kancayı fena taktı .,ümit milli takım ve schalkede fırtına gibi esen hamite alanlar kancayı fena taktı .
479,kamp da neler oldu ?,kampta neler oldu ?
480,şehrin ortasın da kurşun !,şehrin ortasında kurşun !
481,"bakırköy de semih i̇mrahor adlı işadamı , evinin önün de uğradığı silahlı saldırı sonucu ağır yaralandı .","bakırköyde semih i̇mrahor adlı işadamı , evinin önünde uğradığı silahlı saldırı sonucu ağır yaralandı ."
482,milli basketçiler kaya peker ile kerem tunçeri gittikleri sandviç büfesin de müşteriler arasında ki kavgaya karıştı .,milli basketçiler kaya peker ile kerem tunçeri gittikleri sandviç büfesinde müşteriler arasındaki kavgaya karıştı .
483,"belçika , abd ile arasın da gerginliğe yol açan , savaş suçları yasasını değiştiriyor .","belçika , abd ile arasında gerginliğe yol açan , savaş suçları yasasını değiştiriyor ."
484,hepburn yıllarca birlik de yaşadığı spencer tracyken dayak yedi ve evliliği hiç düşünmedi ...,hepburn yıllarca birlikte yaşadığı spencer tracyken dayak yedi ve evliliği hiç düşünmedi ...
485,malatyanın pütürge i̇lçelinde saat 04.48de 5.7 büyüklüğün de bir deprem oldu .,malatyanın pütürge i̇lçelinde saat 04.48de 5.7 büyüklüğünde bir deprem oldu .
486,çevre illerdende hissedilen deprem de can ve mal kaybı yok !,çevre illerden de hissedilen depremde can ve mal kaybı yok !
487,"tarih de hiçbir süper güç , yeryüzün de abd gibi egemenlik kurmadı .","tarihte hiçbir süper güç , yeryüzünde abd gibi egemenlik kurmadı ."
488,galatasaray yeni transferleriyle kombine bilet satışın da patlama yaşadı .,galatasaray yeni transferleriyle kombine bilet satışında patlama yaşadı .
489,80 bin kişilik olimpiyat stadı için 6 gün de toplam 20 bin 500 kombine bilet satıldı,80 bin kişilik olimpiyat stadı için 6 günde toplam 20 bin 500 kombine bilet satıldı
490,son 14 maçın 13’ünü kaybeden göztepe karşısın da bile tutunamadı,son 14 maçın 13’ünü kaybeden göztepe karşısında bile tutunamadı
491,"lig de kalması mucizelere bağlı göztepe , bir ara 3 ılık üstünlüğü yakaladı .","ligde kalması mucizelere bağlı göztepe , bir ara 3 ılık üstünlüğü yakaladı ."
492,moldovya’nın son anda ki golleriyle hezimet yaşanmadı,moldovya’nın son andaki golleriyle hezimet yaşanmadı
493,"bahçe , son 14 maçın 13’ünü kaybeden göztepe karşısın da bile tutunamadı .","bahçe , son 14 maçın 13’ünü kaybeden göztepe karşısında bile tutunamadı ."
494,"bahçe , taraftarlarından tepki aldı , gaziantepspor’dan sonra samsunspor’unda gerisin de kaldı .","bahçe , taraftarlarından tepki aldı , gaziantepspor’dan sonra samsunspor’un da gerisinde kaldı ."
495,"kaleci oğuz 35. dakika da acemice kart gördü , takım 10 kişi kaldı .","kaleci oğuz 35. dakikada acemice kart gördü , takım 10 kişi kaldı ."
496,i̇kinci yarı da göztepe’nin ani atakların da savunma sürekli az adamla yakalandı .,i̇kinci yarıda göztepe’nin ani ataklarında savunma sürekli az adamla yakalandı .
497,"remzi , bülent ve burak’ın nefis golleriyle skor bir anda 3da taşındı .","remzi , bülent ve burak’ın nefis golleriyle skor bir anda 3 da taşındı ."
498,son dakikalar da moldovya’nın iki golü f .,son dakikalarda moldovya’nın iki golü f .
499,yöneticileri her zaman arkaların da .,yöneticileri her zaman arkalarında .
500,artık bizim hedefimiz önümüzde ki sezon türk futboluna yakışır f .,artık bizim hedefimiz önümüzdeki sezon türk futboluna yakışır f .
501,bu ara da menajer selim soydan’ın göz yaşlarına engel olamadığı görüldü .,bu arada menajer selim soydan’ın göz yaşlarına engel olamadığı görüldü .
502,taraftarlar bir arada göztepeyi futbolcuları alkışladılar .,taraftarlar bir ara da göztepeyi futbolcuları alkışladılar .
503,"protesto , karşılaşma sonrasıda devam etti .","protesto , karşılaşma sonrası da devam etti ."
504,bahçe karşısın da tarihin de ikinci galibiyetini aldı .,bahçe karşısında tarihinde ikinci galibiyetini aldı .
505,"f. bahçe teknik direktörü turhan sofuoğlu , kaleyi engin’inde onayıyla genç oğuz’a verdi .","f.bahçe teknik direktörü turhan sofuoğlu , kaleyi engin’in de onayıyla genç oğuz’a verdi ."
506,sahayı büyük bir üzüntü için de terk eden oğuz’un gözlerininde dolu dolu olduğu görüldü .,sahayı büyük bir üzüntü içinde terk eden oğuz’un gözlerinin de dolu dolu olduğu görüldü .
507,çekilişin ilk bölümü kızılay da genel müdürlük binasın da yapıldı,çekilişin ilk bölümü kızılayda genel müdürlük binasında yapıldı
508,henüz 7 yaşın da ...,henüz 7 yaşında ...
509,babası tabancasını oda da bıraktı .,babası tabancasını odada bıraktı .
510,milli takımın devre arasın da dubai de yapacağı hazırlık kampının aday futbolcuları açıklanmıştı .,milli takımın devre arasında dubaide yapacağı hazırlık kampının aday futbolcuları açıklanmıştı .
511,ancak baş da fatih terim karşı çıkanlar vardı .,ancak başta fatih terim karşı çıkanlar vardı .
512,"sydney de onbinlerce kişi , yeni yılı muhteşem bir havai fişek gösterisi ile karşıladı","sydneyde onbinlerce kişi , yeni yılı muhteşem bir havai fişek gösterisi ile karşıladı"
513,"dünya , türkiyenin irak operasyonun da nasıl davranacağını merakla bekliyor .","dünya , türkiyenin irak operasyonunda nasıl davranacağını merakla bekliyor ."
514,"uzmanlara göre aşırı alkol tüketiminin sabahın da baş ağrısıyla uyanmak , bir zehirlenme belirtisi .","uzmanlara göre aşırı alkol tüketiminin sabahında baş ağrısıyla uyanmak , bir zehirlenme belirtisi ."
515,yılbaşının ardından dinç uyanmanın sırrı detoks mönüsün de .,yılbaşının ardından dinç uyanmanın sırrı detoks mönüsünde .
516,"her ülke de , yeni yılın uğurlu gelmesi için çeşitli inançlar var .","her ülkede , yeni yılın uğurlu gelmesi için çeşitli inançlar var ."
517,"kimin de börülce yeniyor , kimi masasına 12 çeşit meyve koyuyor .","kiminde börülce yeniyor , kimi masasına 12 çeşit meyve koyuyor ."
518,i̇şte dünya da yeni yıl inançları,i̇şte dünyada yeni yıl inançları
519,ancak yağmur ve rüzgarı görünce hamamla yetinmek zorun da kaldı .,ancak yağmur ve rüzgarı görünce hamamla yetinmek zorunda kaldı .
520,"bir yılı daha geri de bırakıp , 2003e merhaba demeye saatler kaldı .","bir yılı daha geride bırakıp , 2003e merhaba demeye saatler kaldı ."
521,"şimdi eğlenme zamanı , bir yılın yorgunluğunu atıp yeni yılı mutluluk için de karşılama zamanı .","şimdi eğlenme zamanı , bir yılın yorgunluğunu atıp yeni yılı mutluluk içinde karşılama zamanı ."
522,öyleyse hep birlik de gülümseyelim ...,öyleyse hep birlikte gülümseyelim ...
523,sizce türkiye olası irak operasyonun da yer almalı mı ?,sizce türkiye olası irak operasyonunda yer almalı mı ?
524,trtde ki program için suç duyurusu son,trtdeki program için suç duyurusu son
525,çılgın pozlarıyla tanınan paris hiltonun annesininde gençliğin de seksi fotoğraflar çektirdiği ortaya çıktı yeni haber,çılgın pozlarıyla tanınan paris hiltonun annesinin de gençliğinde seksi fotoğraflar çektirdiği ortaya çıktı yeni haber
526,pkk cenaze de şov yaptı,pkk cenazede şov yaptı
527,faiz yüz de 1in altına iner,faiz yüzde 1in altına iner
528,konut kredisinde bankalar arasın da kıya sıya mücadele sürüyor .,konut kredisin de bankalar arasında kıya sıya mücadele sürüyor .
529,2006 da oranların yüz de 1in altına düşmesi bekleniyor son,2006da oranların yüzde 1in altına düşmesi bekleniyor son
530,ayvalık da 15 yaşında ki kız hamile kalınca korkunç gerçek ortaya çıktı .,ayvalıkta 15 yaşındaki kız hamile kalınca korkunç gerçek ortaya çıktı .
531,i̇ngiliz ve alman gazeteleri dün akşam ki maçla ilgili terbiyesiz başlıklar attı,i̇ngiliz ve alman gazeteleri dün akşamki maçla ilgili terbiyesiz başlıklar attı
532,masa başın da toplu hücuma geçtiler .,masa başında toplu hücuma geçtiler .
533,lonfat maçtan sonra tünel de polisin kendilerini dövdüğünü öne sürdü son haber,lonfat maçtan sonra tünelde polisin kendilerini dövdüğünü öne sürdü son haber
534,kulüplerede kötü haber !,kulüplere de kötü haber !
535,futbol da başa rasız sonuçlar dan sonra ülke sıralamasın da 11 puan geri dedik .,futbolda başa rasız sonuçlar dan sonra ülke sıralamasında 11 puan geri dedik .
536,artık şampiyonlar ligin de ön eleme var ...,artık şampiyonlar liginde ön eleme var ...
537,hollândam da ilginç başörtüsü davası,hollândamda ilginç başörtüsü davası
538,fransa da şiddet bitmiyor !,fransada şiddet bitmiyor !
539,"13 yaşında ki kız , düğünden sonra evden kaçtı !","13 yaşındaki kız , düğünden sonra evden kaçtı !"
540,van da demiryoluna pkk bombası !,vanda demiryoluna pkk bombası !
541,amasya da kanlı soygun !,amasyada kanlı soygun !
542,trafik kazasın da 5 kişilik aile yok oldu !,trafik kazasında 5 kişilik aile yok oldu !
543,"i̇ki hakemde türkiyeye kıymıştır , yazık etmiştir","i̇ki hakem de türkiyeye kıymıştır , yazık etmiştir"
544,arınçın annesi seviye hanımın başın da türban yok ...,arınçın annesi seviye hanımın başında türban yok ...
545,çılgın kızlar sinema da !,çılgın kızlar sinemada !
546,birbirinden güzel filmler vizyon da ...,birbirinden güzel filmler vizyonda ...
547,"başbakan abdullah gül , hükümet programını tam 1 saat 18 dakika da okudu .","başbakan abdullah gül , hükümet programını tam 1 saat 18 dakikada okudu ."
548,"nijerya da yapılacak güzellik yarışması , yüzü aşkın kişinin ölümüne neden olaylar yüzünden iptal edildi .","nijeryada yapılacak güzellik yarışması , yüzü aşkın kişinin ölümüne neden olaylar yüzünden iptal edildi ."
549,yarışmanın londra da yapılması kararlaştırıldı,yarışmanın londrada yapılması kararlaştırıldı
550,"fenerbahçe , kocaelispor karşısın da , washington ve orteganın ayağından iki gol buldu .","fenerbahçe , kocaelispor karşısında , washington ve orteganın ayağından iki gol buldu ."
551,bahar havası geri de kaldı .,bahar havası geride kaldı .
552,üstelik dijital kalite de ...,üstelik dijital kalitede ...
553,kelsimin başı dert de !,kelsimin başı dertte !
554,toplam 20 bin erkek üzerin de yapılan araştırmalar da evliliğin erkeğin ömrünü uzattığı anlaşıldı,toplam 20 bin erkek üzerinde yapılan araştırmalarda evliliğin erkeğin ömrünü uzattığı anlaşıldı
555,i̇kinci el piyasasın da son durum ...,i̇kinci el piyasasında son durum ...
556,beyanname üzerinden hesaplanan vergi üç eşit taksit de ödenecek .,beyanname üzerinden hesaplanan vergi üç eşit taksitte ödenecek .
557,kamyonetin direksiyonun da 11 yaşın da bir çocuk .,kamyonetin direksiyonunda 11 yaşında bir çocuk .
558,türkiye de illere göre kişi başına düşen gayri safi hasıla bugün açıklandı .,türkiyede illere göre kişi başına düşen gayri safi hasıla bugün açıklandı .
559,şubat ayın da yapılacak nema ödemesi bu kez yüzleri güldürecek .,şubat ayında yapılacak nema ödemesi bu kez yüzleri güldürecek .
560,bu sene ki ödeme geçtiğimiz yılı dörde katlayacak .,bu seneki ödeme geçtiğimiz yılı dörde katlayacak .
561,ora da neler olmadı !,orada neler olmadı !
562,bbgciler ilgazıda karıştırdı .,bbgciler ilgazı da karıştırdı .
563,ora da neler oluyor ?,orada neler oluyor ?
564,bütün okulun izlediği duruşma da 8 yıl hapise çarptırıldı,bütün okulun izlediği duruşmada 8 yıl hapise çarptırıldı
565,"bolu da eczane , ispartada hastane yatağı bol ...","boluda eczane , ispartada hastane yatağı bol ..."
566,hamile kadının karnında ki bebeği tekmeler sonucu öldü,hamile kadının karnındaki bebeği tekmeler sonucu öldü
567,"dadı dizisiyle oyunculuğa adım atan sinem kobal , oyunculuk da kendini fazla yetenekli bulmadığını söyledi ...","dadı dizisiyle oyunculuğa adım atan sinem kobal , oyunculukta kendini fazla yetenekli bulmadığını söyledi ..."
568,hava sıcaklıkların da ise ani düşüş var ...,hava sıcaklıklarında ise ani düşüş var ...
569,konyasporu ağırlayan denizlispor rakibini 3 2 yenerek puan sıralamasın da 3. sıraya yerleşti .,konyasporu ağırlayan denizlispor rakibini 3 2 yenerek puan sıralamasında 3. sıraya yerleşti .
570,süper lig de ve avrupa da günün diğer sonuçları şöyle ...,süper ligde ve avrupada günün diğer sonuçları şöyle ...
571,200 dil de milyonlarca sözcüğün anlamını öğrenmek çok kolay !,200 dilde milyonlarca sözcüğün anlamını öğrenmek çok kolay !
572,güneydoğu asya dışın da kuş gribinden ilk ölüm vakaları türkiye de görüldü .,güneydoğu asya dışında kuş gribinden ilk ölüm vakaları türkiyede görüldü .
573,mehmet ali koçyiğitten sonra kardeşi fatmada yaşamını yitirdi son haber,mehmet ali koçyiğitten sonra kardeşi fatma da yaşamını yitirdi son haber
574,"çetin , karzaininde hikmet abisi son","çetin , karzainin de hikmet abisi son"
575,şaron ölümle yaşam arasın da !,şaron ölümle yaşam arasında !
576,sağlık bakanı recep akdağ evler de öncelikli olarak alınması gereken önlemleri açıkladı .,sağlık bakanı recep akdağ evlerde öncelikli olarak alınması gereken önlemleri açıkladı .
577,"lindsay , tiraj yarışın da !","lindsay , tiraj yarışında !"
578,"kuş gribinin türkiye de can aldığının kesin çeşmesi , dünya kamuoyunun dikkatini türkiyeye çevirdi .","kuş gribinin türkiyede can aldığının kesin çeşmesi , dünya kamuoyunun dikkatini türkiyeye çevirdi ."
579,galatasaray üniversitesi öğrencisi be gümü öldüren maganda kur tununun arkasın da kıskanç bir aşık çıktı son,galatasaray üniversitesi öğrencisi be gümü öldüren maganda kur tununun arkasında kıskanç bir aşık çıktı son
580,durgun geçen ara transfer dönemin de vestel manisaspor bugün zelenkayı renklerine bağladı son haber,durgun geçen ara transfer döneminde vestel manisaspor bugün zelenkayı renklerine bağladı son haber
581,ronaldinhonun reklam filmin de çekilen bu görüntüleri dünyayı şok etti .,ronaldinhonun reklam filminde çekilen bu görüntüleri dünyayı şok etti .
582,kurbanlık fiyatları geçen seneyle aynı seviye de,kurbanlık fiyatları geçen seneyle aynı seviyede
583,irakta seçim sonuçları 4 gün için de açıklanıyor,irakta seçim sonuçları 4 gün içinde açıklanıyor
584,rektör aşkın görevinin başın da ...,rektör aşkın görevinin başında ...
585,van da 200 kanatlı hayvan itlaf edildi,vanda 200 kanatlı hayvan itlaf edildi
586,erzurum da ülkücüler birbirine girdi,erzurumda ülkücüler birbirine girdi
587,fener de kilolular ve küfür edenler yandı !,fenerde kilolular ve küfür edenler yandı !
588,alman ligin de yabancı oyuncu sınırı kalktı,alman liginde yabancı oyuncu sınırı kalktı
589,yat limakın da patlama !,yat limakında patlama !
590,antalya yat limakın da bir patlama meydana geldi .,antalya yat limakında bir patlama meydana geldi .
591,i̇şkencede yapılmış !,i̇şkence de yapılmış !
592,"acımasız katil , 16 yaşında ki kıza bıçakla işkencede yapmış ...","acımasız katil , 16 yaşındaki kıza bıçakla işkence de yapmış ..."
593,burnuna estetik yaptırmak isteyen i̇hracat müdürü genç kadının kalbi ameliyat masasın da durdu,burnuna estetik yaptırmak isteyen i̇hracat müdürü genç kadının kalbi ameliyat masasında durdu
594,bonservisi elin de olan i̇lhana teklif yağıyor son haber,bonservisi elinde olan i̇lhana teklif yağıyor son haber
595,gelde inan .,gel de inan .
596,halk arasında ki ilginç inanışlar geçerliliğini günümüz dede sürdürüyor .,halk arasındaki ilginç inanışlar geçerliliğini günümüzde de sürdürüyor .
597,gelenlerde olabilir gidenlerde !,gelenler de olabilir gidenler de !
598,bankacılık hala yüksek risk ortamın da,bankacılık hala yüksek risk ortamında
599,"turizmde ki artış , cari açığı daraltacak","turizmdeki artış , cari açığı daraltacak"
600,bat sigaralarıda zamlandı !,bat sigaraları da zamlandı !
601,necef de sadr güçleri büyük direniş gösteriyor,necefte sadr güçleri büyük direniş gösteriyor
602,gol yesekde yola devam,gol yesek de yola devam
603,erken biten rock coke de para iadesi ...,erken biten rock cokede para iadesi ...
604,del bosque kadro da revizyona gidiyor ...,del bosque kadroda revizyona gidiyor ...
605,yavuz adın da bir oğlum yok,yavuz adında bir oğlum yok
606,nadir elmaslarla kaplı dünyanın en pahalı bikinisi sokak da tanıtıldı,nadir elmaslarla kaplı dünyanın en pahalı bikinisi sokakta tanıtıldı
607,arkadaşlarıyla birlik de eğlenen güzel şarkıcının yine durgun olduğu gözlerden kaçmadı .,arkadaşlarıyla birlikte eğlenen güzel şarkıcının yine durgun olduğu gözlerden kaçmadı .
608,sahne de program yapan ...,sahnede program yapan ...
609,"erdoğan , alınan kararın bundan önce ki açıklamalarla çelişmediğinide savundu .","erdoğan , alınan kararın bundan önceki açıklamalarla çelişmediğini de savundu ."
610,bayram da çalışanlar uzun bir tatil yapacak .,bayramda çalışanlar uzun bir tatil yapacak .
611,"bisikletleri ile türkiyeye gelen iki alman kadın , 20 gün önce esrarengiz şekil de ortadan kaybol","bisikletleri ile türkiyeye gelen iki alman kadın , 20 gün önce esrarengiz şekilde ortadan kaybol"
612,"yasak , kürtaj yasağına giden yol da ilk adım olarak yorumlanıyor ...","yasak , kürtaj yasağına giden yolda ilk adım olarak yorumlanıyor ..."
613,"ab , türkçe alfabe de o , o , o harflerinin bulunmamasını eleştirilmişti .","ab , türkçe alfabede o , o , o harflerinin bulunmamasını eleştirilmişti ."
614,hollândam da yaşayan türkerde türkçe harfler için başvuru da bulundu !,hollândamda yaşayan türker de türkçe harfler için başvuruda bulundu !
615,kadro da i̇ngiltere maçından farklı olarak sakatlığı süren sergenin yerine tümer var ...,kadroda i̇ngiltere maçından farklı olarak sakatlığı süren sergenin yerine tümer var ...
616,kıbrıs da rum tezinin etkisin de kalıyor,kıbrısta rum tezinin etkisinde kalıyor
617,tunceli de bir garip teşhir,tuncelide bir garip teşhir
618,"bingöl de çatışma , 5 pkkyı öldürüldü son","bingölde çatışma , 5 pkkyı öldürüldü son"
619,tenetlerimi kullandım deyince iki ülke arasın da kriz çıktı son,tenetlerimi kullandım deyince iki ülke arasında kriz çıktı son
620,yurdum i̇nsa anın da bu haf ta,yurdum i̇nsa anında bu haf ta
621,konfederasyon kupasın da dünya yeni bir zıplayan jimmy ile ta,konfederasyon kupasında dünya yeni bir zıplayan jimmy ile ta
622,yarın önünde ki şov foto galeri,yarın önündeki şov foto galeri
623,"trabzonspor , şampiyonlar ligi ikinci ön elemesin de dinamo minsk ve anorthosis maçının galibiyle oynayacak ...","trabzonspor , şampiyonlar ligi ikinci ön elemesinde dinamo minsk ve anorthosis maçının galibiyle oynayacak ..."
624,borsa haftayı 27 bin puanın üzerin de tamamladı,borsa haftayı 27 bin puanın üzerinde tamamladı
625,benzine yirmi gün de üçüncü zam geldi,benzine yirmi günde üçüncü zam geldi
626,fuhuş da yakalananlara i̇nternetten teşhir,fuhuşta yakalananlara i̇nternetten teşhir
627,festivale seyyar tuvalet için de gitmek istediler ama ...,festivale seyyar tuvalet içinde gitmek istediler ama ...
628,hangi ülke de en çok hangi soyadları kullanılıyor ?,hangi ülkede en çok hangi soyadları kullanılıyor ?
629,akp iktidarın da ilk ve en 100ler ...,akp iktidarında ilk ve en 100ler ...
630,nüfus cüzdanına göre 10 yaşın da olan kapkaççı,nüfus cüzdanına göre 10 yaşında olan kapkaççı
631,çevre ödülün de şaşırtan tercih,çevre ödülünde şaşırtan tercih
632,her 2 saniye de bir ürün satıyor,her 2 saniyede bir ürün satıyor
633,müzeyyen senar bir hafta yatmak zorun da,müzeyyen senar bir hafta yatmak zorunda
634,fenerbahçeye marcelinho da yeni umut,fenerbahçeye marcelinhoda yeni umut
